,tof1,tof2,tof3,tof4
0,3393,0,0,0
1,3387,0,0,0
2,3387,0,0,0
3,3353,0,0,0
4,3353,0,0,0
5,3353,0,0,0
6,3353,0,0,0
7,3353,0,0,0
8,3360,0,0,0
9,3360,0,0,0
10,3360,0,0,0
11,3311,0,0,0
12,3311,0,0,0
13,3306,0,0,0
14,3306,0,0,0
15,3306,0,0,0
16,3295,0,0,0
17,3295,0,0,0
18,3298,0,0,0
19,3298,0,0,0
20,3298,0,0,0
21,3275,0,0,0
22,3275,0,0,0
23,3280,0,0,0
24,3280,0,0,0
25,3250,0,0,0
26,3250,0,0,0
27,3250,0,0,0
28,3248,0,0,0
29,3248,0,0,0
30,3230,0,0,0
31,3230,0,0,0
32,3230,0,0,0
33,3260,0,0,0
34,3260,0,0,0
35,3223,0,0,0
36,3223,0,0,0
37,3223,0,0,0
38,3224,0,0,0
39,3224,0,0,0
40,3216,0,0,0
41,3216,0,0,0
42,3216,0,0,0
43,3216,0,0,0
44,3211,0,0,0
45,3211,0,0,0
46,3224,0,0,0
47,3224,0,0,0
48,3224,0,0,0
49,3201,0,0,0
50,3201,0,0,0
51,3206,0,0,0
52,3206,0,0,0
53,3206,0,0,0
54,3215,0,0,0
55,3215,0,0,0
56,3218,0,0,0
57,3218,0,0,0
58,3218,0,0,0
59,3210,0,0,0
60,3210,0,0,0
61,3211,0,0,0
62,3211,0,0,0
63,3198,0,0,0
64,3198,0,0,0
65,3198,0,0,0
66,3196,0,0,0
67,3196,0,0,0
68,3193,0,0,0
69,3193,0,0,0
70,3193,0,0,0
71,3230,0,0,0
72,3230,0,0,0
73,3205,0,0,0
74,3205,0,0,0
75,3205,0,0,0
76,3209,0,0,0
77,3209,0,0,0
78,3198,0,0,0
79,3198,0,0,0
80,3198,0,0,0
81,3214,0,0,0
82,3214,0,0,0
83,3210,0,0,0
84,3210,0,0,0
85,3210,0,0,0
86,3204,0,0,0
87,3204,0,0,0
88,3198,0,0,0
89,3198,0,0,0
90,3198,0,0,0
91,3214,0,0,0
92,3214,0,0,0
93,3214,0,0,0
94,3214,0,0,0
95,3216,0,0,0
96,3216,0,0,0
97,3216,0,0,0
98,3216,0,0,0
99,3216,0,0,0
100,3220,0,0,0
101,3220,0,0,0
102,3220,0,0,0
103,3210,0,0,0
104,3210,0,0,0
105,3220,0,0,0
106,3220,0,0,0
107,3220,0,0,0
108,3206,0,0,0
109,3206,0,0,0
110,3220,0,0,0
111,3220,0,0,0
112,3220,0,0,0
113,3210,0,0,0
114,3210,0,0,0
115,3201,0,0,0
116,3201,0,0,0
117,3201,0,0,0
118,3200,0,0,0
119,3200,0,0,0
120,3207,0,0,0
121,3207,0,0,0
122,3207,0,0,0
123,3187,0,0,0
124,3187,0,0,0
125,3139,0,0,0
126,3139,0,0,0
127,3139,0,0,0
128,3083,0,0,0
129,3083,0,0,0
130,3042,0,0,0
131,3042,0,0,0
132,3042,0,0,0
133,2998,0,0,0
134,2998,0,0,0
135,2921,0,0,0
