,times(seconds),x,y,z
0,0.0,0.0,0.0,0.0
1,0.020035251811862293,-0.0,-0.0,0.0
2,0.040070503623724586,-0.0,1e-05,0.0
3,0.06010575543558688,-2e-05,3e-05,0.0
4,0.08014100724744917,-3e-05,3e-05,0.0
5,0.10017625905931146,-4e-05,5e-05,0.0
6,0.12021151087117377,-5e-05,5e-05,0.0
7,0.14024676268303604,-6e-05,5e-05,0.0
8,0.16028201449489834,-5e-05,5e-05,0.0
9,0.18031726630676065,-6e-05,5e-05,0.0
10,0.20035251811862292,-6e-05,4e-05,0.0
11,0.22038776993048523,-7e-05,3e-05,0.0
12,0.24042302174234753,-7e-05,4e-05,0.0
13,0.2604582735542098,-6e-05,5e-05,0.0
14,0.2804935253660721,-6e-05,6e-05,0.0
15,0.3005287771779344,-8e-05,9e-05,0.0
16,0.3205640289897967,-8e-05,0.00011,0.0
17,0.34059928080165897,-8e-05,9e-05,0.0
18,0.3606345326135213,-8e-05,8e-05,0.0
19,0.3806697844253836,-7e-05,6e-05,0.0
20,0.40070503623724585,-8e-05,4e-05,0.0
21,0.4207402880491082,-8e-05,3e-05,0.0
22,0.44077553986097046,-6e-05,9e-05,0.0
23,0.46081079167283273,-7e-05,9e-05,0.0
24,0.48084604348469506,-7e-05,9e-05,0.0
25,0.5008812952965573,-7e-05,9e-05,0.0
26,0.5209165471084196,-7e-05,9e-05,0.0
27,0.5409517989202819,-6e-05,0.0001,0.0
28,0.5609870507321442,-5e-05,8e-05,0.0
29,0.5810223025440066,-4e-05,6e-05,0.0
30,0.6010575543558688,-4e-05,6e-05,0.0
31,0.6210928061677311,-5e-05,7e-05,0.0
32,0.6411280579795934,-6e-05,9e-05,0.0
33,0.6611633097914557,-6e-05,9e-05,0.0
34,0.6811985616033179,-7e-05,9e-05,0.0
35,0.7012338134151802,-8e-05,9e-05,0.0
36,0.7212690652270426,-8e-05,9e-05,0.0
37,0.7413043170389049,-8e-05,9e-05,0.0
38,0.7613395688507671,-8e-05,8e-05,0.0
39,0.7813748206626294,-8e-05,7e-05,0.0
40,0.8014100724744917,-7e-05,6e-05,0.0
41,0.821445324286354,-6e-05,4e-05,0.0
42,0.8414805760982164,-5e-05,1e-05,0.0
43,0.8615158279100786,-5e-05,-1e-05,0.0
44,0.8815510797219409,-4e-05,1e-05,0.0
45,0.9015863315338032,-5e-05,-1e-05,0.0
46,0.9216215833456655,-6e-05,-2e-05,0.0
47,0.9416568351575277,-6e-05,0.0,0.0
48,0.9616920869693901,-5e-05,2e-05,0.0
49,0.9817273387812524,-5e-05,3e-05,0.0
