,x,y,z
0,0.0,0.0,0.0
1,2e-05,-0.0,0.0
2,3e-05,2e-05,0.0
3,2e-05,3e-05,0.0
4,2e-05,2e-05,0.0
5,1e-05,3e-05,0.0
6,-1e-05,2e-05,0.0
7,-1e-05,3e-05,0.0
8,1e-05,3e-05,0.0
9,-0.0,-6e-05,0.0
10,-9e-05,-0.00013,0.0
11,-0.0001,-0.00016,0.0
12,-0.00012,-0.00017,0.0
13,-0.00016,-0.00014,0.0
14,-0.00014,-0.00015,0.0
15,-0.00019,-0.00014,0.0
16,-0.00022,-5e-05,0.0
17,-0.00021,5e-05,0.0
18,-0.00021,0.00015,0.0
19,-0.00021,0.00015,0.0
20,-0.00017,0.00027,0.0
21,-0.00014,0.00026,0.0
22,-0.00017,0.00027,0.0
23,-0.00023,0.00021,0.0
24,-0.00033,0.00023,0.0
25,-0.00046,0.0003,0.0
26,-0.00058,0.00031,0.0
27,-0.00064,0.00041,0.0
28,-0.00067,0.00046,0.0
29,-0.00064,0.00053,0.0
30,-0.00061,0.00058,0.0
31,-0.00057,0.00064,0.0
32,-0.00056,0.00068,0.0
33,-0.00055,0.00071,0.0
34,-0.00053,0.00072,0.0
35,-0.00051,0.00073,0.0
36,-0.0005,0.00078,0.0
37,-0.00049,0.00085,0.0
38,-0.00049,0.00088,0.0
39,-0.00041,0.00095,0.0
40,-0.00035,0.00093,0.0
41,-0.00027,0.00089,0.0
42,-0.00017,0.00076,0.0
43,-0.00024,0.00066,0.0
44,-0.00033,0.00058,0.0
45,-0.00035,0.00048,0.0
46,-0.00033,0.00043,0.0
47,-0.00031,0.00035,0.0
48,-0.00032,0.00025,0.0
49,-0.00033,0.00023,0.0
50,-0.00033,0.00022,0.0
51,-0.00034,0.00019,0.0
52,-0.00033,0.00019,0.0
53,-0.00031,0.0002,0.0
54,-0.00029,0.00019,0.0
55,-0.00027,0.00017,0.0
56,-0.00026,0.00015,0.0
57,-0.00027,0.00018,0.0
58,-0.00027,0.00017,0.0
59,-0.00027,0.00017,0.0
60,-0.00028,0.00015,0.0
61,-0.0003,0.00016,0.0
62,-0.00031,0.00016,0.0
63,-0.00031,0.00016,0.0
64,-0.00031,0.00015,0.0
65,-0.00031,0.00015,0.0
66,-0.00031,0.00014,0.0
67,-0.0003,0.00014,0.0
68,-0.00029,0.00011,0.0
69,-0.00027,9e-05,0.0
70,-0.00026,9e-05,0.0
71,-0.00025,9e-05,0.0
72,-0.00026,0.00011,0.0
73,-0.00027,0.00011,0.0
74,-0.00028,0.00013,0.0
75,-0.00029,0.00012,0.0
76,-0.00029,0.00012,0.0
77,-0.00028,9e-05,0.0
78,-0.00029,8e-05,0.0
79,-0.00028,8e-05,0.0
80,-0.00028,4e-05,0.0
81,-0.00027,3e-05,0.0
82,-0.00026,5e-05,0.0
83,-0.00026,5e-05,0.0
84,-0.00026,6e-05,0.0
85,-0.00027,7e-05,0.0
86,-0.00027,7e-05,0.0
87,-0.00031,0.0001,0.0
88,-0.00032,0.0001,0.0
89,-0.00032,0.00013,0.0
90,-0.00031,0.00014,0.0
91,-0.0003,0.00015,0.0
92,-0.00029,0.00015,0.0
93,-0.00028,0.00015,0.0
94,-0.00027,0.00015,0.0
95,-0.00027,0.00014,0.0
96,-0.00027,0.00015,0.0
97,-0.00029,0.00014,0.0
98,-0.00029,0.00013,0.0
99,-0.0003,0.00013,0.0
100,-0.0003,0.0001,0.0
101,-0.0003,9e-05,0.0
102,-0.0003,8e-05,0.0
103,-0.0003,7e-05,0.0
104,-0.0003,8e-05,0.0
105,-0.0003,8e-05,0.0
106,-0.0003,9e-05,0.0
107,-0.00029,7e-05,0.0
108,-0.00029,8e-05,0.0
109,-0.00029,9e-05,0.0
110,-0.00029,9e-05,0.0
111,-0.0003,8e-05,0.0
112,-0.00031,0.0001,0.0
113,-0.00032,9e-05,0.0
114,-0.00033,9e-05,0.0
115,-0.00034,0.00014,0.0
116,-0.00033,0.00016,0.0
117,-0.00034,0.00012,0.0
118,-0.00034,0.00016,0.0
119,-0.00037,0.00023,0.0
120,-0.00025,0.00022,0.0
121,0.00036,0.00012,0.0
122,0.00175,-0.00015,0.0
123,0.00451,-0.00053,0.0
124,0.00915,-0.00082,0.0
125,0.01565,-0.00176,0.0
126,0.02336,-0.00147,0.0
127,0.03212,-0.00129,0.0
128,0.04124,-0.00198,0.0
129,0.05049,-0.0025,0.0
130,0.05999,-0.0025,0.0
131,0.06953,-0.00299,0.0
132,0.07907,-0.00342,0.0
133,0.08894,-0.00375,0.0
134,0.09905,-0.00449,0.0
135,0.10987,-0.00499,0.0
136,0.1215,-0.0057,0.0
137,0.13414,-0.00608,0.0
138,0.14777,-0.00663,0.0
139,0.16266,-0.00707,0.0
140,0.17866,-0.00768,0.0
