,times(seconds),x,y,z
0,0.0,0.0,0.0,0.0
1,0.019329900073694485,2e-05,-0.0,0.0
2,0.03865980014738897,3e-05,2e-05,0.0
3,0.057989700221083455,2e-05,3e-05,0.0
4,0.07731960029477794,2e-05,2e-05,0.0
5,0.09664950036847242,1e-05,3e-05,0.0
6,0.11597940044216691,-1e-05,2e-05,0.0
7,0.1353093005158614,-1e-05,3e-05,0.0
8,0.15463920058955588,1e-05,3e-05,0.0
9,0.17396910066325036,-0.0,-6e-05,0.0
10,0.19329900073694484,-9e-05,-0.00013,0.0
11,0.21262890081063934,-0.0001,-0.00016,0.0
12,0.23195880088433382,-0.00012,-0.00017,0.0
13,0.2512887009580283,-0.00016,-0.00014,0.0
14,0.2706186010317228,-0.00014,-0.00015,0.0
15,0.28994850110541726,-0.00019,-0.00014,0.0
16,0.30927840117911176,-0.00022,-5e-05,0.0
17,0.32860830125280627,-0.00021,5e-05,0.0
18,0.3479382013265007,-0.00021,0.00015,0.0
19,0.3672681014001952,-0.00021,0.00015,0.0
20,0.3865980014738897,-0.00017,0.00027,0.0
21,0.4059279015475842,-0.00014,0.00026,0.0
22,0.4252578016212787,-0.00017,0.00027,0.0
23,0.44458770169497314,-0.00023,0.00021,0.0
24,0.46391760176866764,-0.00033,0.00023,0.0
25,0.48324750184236215,-0.00046,0.0003,0.0
26,0.5025774019160566,-0.00058,0.00031,0.0
27,0.5219073019897511,-0.00064,0.00041,0.0
28,0.5412372020634456,-0.00067,0.00046,0.0
29,0.5605671021371401,-0.00064,0.00053,0.0
30,0.5798970022108345,-0.00061,0.00058,0.0
31,0.599226902284529,-0.00057,0.00064,0.0
32,0.6185568023582235,-0.00056,0.00068,0.0
33,0.637886702431918,-0.00055,0.00071,0.0
34,0.6572166025056125,-0.00053,0.00072,0.0
35,0.6765465025793069,-0.00051,0.00073,0.0
36,0.6958764026530014,-0.0005,0.00078,0.0
37,0.7152063027266959,-0.00049,0.00085,0.0
38,0.7345362028003904,-0.00049,0.00088,0.0
39,0.753866102874085,-0.00041,0.00095,0.0
40,0.7731960029477793,-0.00035,0.00093,0.0
41,0.7925259030214739,-0.00027,0.00089,0.0
42,0.8118558030951684,-0.00017,0.00076,0.0
43,0.8311857031688629,-0.00024,0.00066,0.0
44,0.8505156032425574,-0.00033,0.00058,0.0
45,0.8698455033162519,-0.00035,0.00048,0.0
46,0.8891754033899463,-0.00033,0.00043,0.0
47,0.9085053034636408,-0.00031,0.00035,0.0
48,0.9278352035373353,-0.00032,0.00025,0.0
49,0.9471651036110298,-0.00033,0.00023,0.0
50,0.9664950036847243,-0.00033,0.00022,0.0
51,0.9858249037584187,-0.00034,0.00019,0.0
52,1.0051548038321132,-0.00033,0.00019,0.0
53,1.0244847039058078,-0.00031,0.0002,0.0
54,1.0438146039795022,-0.00029,0.00019,0.0
55,1.0631445040531966,-0.00027,0.00017,0.0
56,1.0824744041268912,-0.00026,0.00015,0.0
57,1.1018043042005856,-0.00027,0.00018,0.0
58,1.1211342042742802,-0.00027,0.00017,0.0
59,1.1404641043479746,-0.00027,0.00017,0.0
60,1.159794004421669,-0.00028,0.00015,0.0
61,1.1791239044953636,-0.0003,0.00016,0.0
62,1.198453804569058,-0.00031,0.00016,0.0
63,1.2177837046427527,-0.00031,0.00016,0.0
64,1.237113604716447,-0.00031,0.00015,0.0
65,1.2564435047901414,-0.00031,0.00015,0.0
66,1.275773404863836,-0.00031,0.00014,0.0
67,1.2951033049375305,-0.0003,0.00014,0.0
68,1.314433205011225,-0.00029,0.00011,0.0
69,1.3337631050849195,-0.00027,9e-05,0.0
70,1.3530930051586139,-0.00026,9e-05,0.0
71,1.3724229052323085,-0.00025,9e-05,0.0
