,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
90,0.13942,0.00626,-1.06351,-0.10559,0.00567,0.04428
91,0.16292,0.01195,-1.07033,0.00896,0.04136,-0.00767
92,0.23815,0.01555,-0.86178,0.06572,0.16642,0.00157
93,0.20802,0.02637,-1.02393,-0.04204,-0.0372,0.02854
94,0.11421,0.04623,-1.15282,0.02963,-0.07169,-0.06878
95,0.07029,0.00894,-0.83605,0.05619,0.12732,0.01678
96,-0.03966,-0.01719,-1.01434,0.00958,-0.03114,0.05641
97,-0.16761,0.0516,-1.14732,-0.02167,-0.02564,-0.05485
98,-0.16465,0.03546,-0.86374,0.00391,0.11618,-0.03635
99,-0.20092,-0.01719,-0.97111,-0.03749,-0.00298,0.06105
100,-0.20386,0.02619,-1.11409,0.08102,-0.04522,-0.03547
101,-0.1112,0.02723,-0.9419,0.02033,0.11873,-0.00085
102,-0.01376,-0.05409,-0.94367,-0.03413,0.13218,0.12204
103,0.07053,0.01804,-1.02714,-0.03999,0.04967,0.03907
104,0.15898,0.04747,-1.07061,-0.06218,-0.01099,-0.05467
105,0.19026,0.0241,-0.9626,0.0608,0.08377,-0.01892
106,0.17295,-0.00495,-0.94732,0.00416,0.09323,0.00665
107,0.12047,0.01902,-1.12434,0.04367,-0.2632,-0.01267
108,0.06024,0.00731,-0.9493,0.03574,0.05649,-0.03704
109,0.01202,-0.01022,-0.90282,0.1123,0.08666,0.0523
110,-0.1234,0.00348,-1.18,0.06928,-0.10048,0.0394
111,-0.1426,0.05479,-0.96721,-0.0117,0.04458,-0.04082
112,-0.13918,0.00079,-0.90164,0.02775,0.07005,0.05869
113,-0.09974,0.08952,-0.9747,0.03095,0.03109,-0.10363
114,-0.00837,0.01491,-0.91197,-0.05189,0.12095,0.03532
115,0.00516,-0.04959,-1.05465,-0.05773,-0.02635,0.09575
116,0.06836,0.04002,-1.10284,0.02231,-0.03179,-0.05316
117,0.18064,0.04137,-0.8833,0.02576,0.06432,-0.03947
118,0.15864,-0.01389,-0.97901,-0.06734,0.03818,0.07322
119,0.10616,0.01845,-1.15656,0.01858,-0.1455,-0.0374
120,0.09023,0.02476,-0.91346,0.01552,0.04039,-0.03502
121,0.0267,-0.01885,-0.95761,-0.052,0.05268,0.06845
122,-0.09396,0.02606,-1.16041,0.05688,-0.21263,-0.04386
123,-0.07045,0.05839,-0.87855,0.06072,0.09629,-0.13379
124,-0.13702,-0.03167,-0.97657,-0.08894,0.00773,0.08903
125,-0.18539,-0.04626,-1.08778,0.0555,-0.11226,0.05549
126,-0.07945,0.07197,-0.94897,0.02425,0.06809,-0.08988
127,-0.05871,-0.0158,-0.9569,-0.0508,0.09512,0.10326
128,-0.04234,-0.0411,-1.08216,-0.1016,-0.03991,0.10736
129,0.06366,0.0993,-1.02911,0.05008,0.04755,-0.1123
130,0.13274,0.00354,-0.89501,0.00066,0.06723,0.03868
131,0.10712,-0.02547,-1.04218,-0.08564,-0.03002,0.10895
132,0.11361,0.08525,-1.1015,0.0578,-0.10825,-0.13602
133,0.10617,0.03436,-0.87767,0.06502,0.05428,-0.03193
134,0.02753,-0.04173,-1.04806,-0.16638,-0.03559,0.09136
135,-0.02387,0.05263,-1.07695,0.03705,-0.14428,-0.14256
136,-0.04982,0.00871,-0.89735,0.0257,0.07216,-0.00906
137,-0.14696,-0.05704,-1.03444,-0.08946,-0.0114,0.14776
138,-0.09292,-0.07759,-1.00416,-0.06945,0.03905,0.16972
139,-0.03634,0.01034,-1.05428,-0.01057,0.02803,-0.00258
140,0.07723,0.08355,-0.96824,0.02881,0.01718,-0.06064
141,0.08199,-0.00635,-0.95211,0.01424,0.11703,0.05093
142,0.06929,0.00318,-1.07668,-0.08975,0.03106,0.04579
143,0.12838,0.04761,-0.99279,0.08614,-0.06325,-0.08726
144,0.07652,-0.00306,-0.95361,0.03165,0.04397,0.04778
145,0.0174,0.00162,-1.07368,-0.13779,0.00927,0.03625
146,0.01195,0.0377,-1.00431,0.10561,-0.08098,-0.12117
147,-0.03951,-0.00149,-0.94661,0.00767,-0.0372,0.03717
148,-0.11236,-0.02688,-1.04901,-0.09706,0.0176,0.07781
149,-0.07021,0.04828,-1.00913,0.15741,-0.08166,-0.14771
150,-0.0995,0.01191,-0.96001,0.01593,0.00811,0.07428
151,-0.11136,-0.04059,-1.02985,-0.08534,0.08482,0.09912
152,-0.01048,0.07032,-0.98012,0.07297,0.01121,-0.09526
153,0.01578,0.03602,-0.99281,0.01966,0.0709,-0.02721
154,0.01661,-0.05725,-1.03775,-0.12833,-0.019,0.10529
155,0.08721,0.00513,-0.9948,-0.04768,0.0368,-0.02773
156,0.09756,0.03389,-0.99733,0.12003,0.00646,-0.04775
157,0.05374,0.00825,-1.01797,-0.15932,-0.04674,0.07727
158,0.05286,0.04501,-1.01489,-0.0665,0.0237,-0.04087
159,0.03053,0.03115,-1.00605,0.13404,-0.10243,-0.06514
160,-0.04742,-0.01693,-0.98514,-0.09279,-0.07856,0.07109
161,-0.05475,0.03723,-1.01735,-0.07103,0.01411,-0.04237
162,-0.07529,-0.02428,-1.00901,0.11859,-0.09307,0.02078
163,-0.11015,-0.02668,-1.00892,-0.02299,-0.10047,0.08244
164,-0.07289,0.0777,-0.98065,-0.07049,0.06007,-0.08731
165,-0.03436,-0.03465,-0.97012,0.09537,0.02919,0.04409
166,-0.04894,-0.00412,-1.03637,0.0126,0.00363,0.04145
167,0.01655,0.03709,-1.00118,-0.06597,0.06405,0.03153
168,0.06855,0.0446,-1.03971,0.06196,-0.08091,-0.02327
169,0.06102,0.03758,-1.01294,-0.10902,0.0178,0.00451
170,0.09006,0.00653,-0.97323,-0.03506,0.05828,-0.04472
171,0.02002,-0.02048,-1.03984,0.1239,-0.10176,0.0047
172,-0.04002,0.01452,-0.99165,-0.0583,-0.02154,0.03229
173,-0.01421,0.02605,-0.98987,-0.03642,0.06086,-0.05116
174,-0.0858,-0.00814,-1.04759,0.11821,-0.12476,0.01385
175,-0.11717,-0.01648,-1.00011,0.02099,-0.06037,0.07716
176,-0.04527,0.05121,-0.9508,-0.00415,0.08108,-0.07565
177,-0.05874,-0.03629,-1.00586,0.0726,0.00273,0.07762
178,-0.06654,0.00221,-1.058,-0.0936,-0.06581,0.08612
179,0.03604,0.07281,-0.98619,-0.07806,0.03888,-0.05643
180,0.06577,-0.00591,-0.9541,0.01095,0.04134,0.00129
181,0.02437,-0.00198,-1.08,0.00608,-0.12196,0.03379
182,0.0671,0.02881,-0.97277,-0.08063,0.06404,-0.00733
183,0.09571,-0.00479,-0.96015,0.01957,0.10058,-0.01395
184,0.02302,0.01448,-1.06814,0.06354,-0.16613,-0.00896
185,-0.02188,0.036,-0.9929,-0.0339,-0.01666,0.02507
186,0.02595,0.01819,-0.93381,-0.03233,0.11426,-0.03866
187,-0.06331,-0.00777,-1.07574,0.09256,-0.12546,0.01173
188,-0.12039,0.00338,-1.00542,0.02648,-0.05102,0.04678
189,-0.0249,0.06276,-0.90602,-0.0038,0.09437,-0.07035
190,-0.07284,-0.02164,-1.05994,0.08852,-0.10008,0.04281
191,-0.10415,-0.01064,-1.04676,-0.01284,-0.02921,0.0667
192,0.02829,-0.03285,-0.97824,0.03795,0.04538,0.02668
193,0.00059,0.01315,-1.12196,-0.10452,-0.0762,0.03333
194,0.07251,0.02167,-0.93562,-0.07663,0.05121,0.00684
195,0.09036,0.00038,-0.95845,0.01555,0.06687,-0.00854
196,0.01624,0.03469,-1.10432,0.03223,-0.17044,-0.00489
197,0.01312,0.04475,-0.96278,-0.07194,0.02341,-0.02873
198,0.03113,0.00443,-0.94693,-0.0009,0.09944,-0.02351
199,-0.06217,-0.03875,-1.08428,0.06289,-0.13005,0.07372
200,-0.07924,0.03023,-0.99844,-0.04711,-0.0518,-0.01751
201,-0.04911,0.04993,-0.93355,-0.00749,0.04341,-0.07477
202,-0.16564,-0.06134,-1.04774,0.15219,-0.11333,0.09772
203,-0.19551,-0.0059,-1.08002,0.10729,-0.14126,0.03748
204,-0.14876,0.06298,-0.91178,-0.09521,0.11826,-0.04317
205,-0.1627,0.02071,-0.91616,-0.0611,0.10812,0.04478
206,-0.13687,-0.00693,-1.09317,0.11947,-0.02648,-0.00878
207,-0.0783,0.07148,-1.02179,0.04878,-0.05407,-0.07362
208,-0.05317,-0.05647,-0.98631,-0.08589,0.08447,0.09346
209,0.02015,-0.05484,-0.95992,-0.08608,0.08364,0.06148
210,0.08631,0.05046,-1.00088,-0.02291,0.06133,-0.02043
211,0.08492,0.07444,-1.03053,-0.01667,0.00107,-0.03931
212,0.02188,0.03423,-1.02586,0.02326,-0.05672,-0.01857
213,-0.03823,-0.04579,-0.97521,-0.02677,-0.00026,0.09829
214,-0.0602,0.00842,-1.0004,-0.03589,0.01837,0.0097
215,-0.12074,0.03978,-0.99864,0.01164,0.00375,-0.02327
216,-0.18013,0.02689,-1.05101,0.12342,-0.07579,0.0099
217,-0.2044,0.01947,-0.98216,0.06057,-0.02891,-0.00482
218,-0.17498,0.00769,-0.96472,-0.02101,0.02345,0.0022
219,-0.14287,-0.03628,-1.00207,-0.06934,0.03242,0.06432
220,-0.0703,-0.03757,-1.01641,-0.03444,0.02941,0.03389
221,0.00304,0.01233,-1.00305,-0.03113,0.0212,0.01317
222,0.05916,0.04278,-0.99152,-0.0197,0.03477,-0.00699
223,0.10624,0.05726,-1.00034,-0.01869,0.03079,-0.02412
224,0.08716,0.01834,-1.00395,0.00177,0.02834,0.01416
225,0.04395,0.01458,-1.01971,0.02676,-0.00919,-0.01889
226,-0.06075,-0.02801,-0.98482,-0.00767,0.0021,0.04329
227,-0.10816,-0.03504,-1.01925,-0.06991,-0.01147,0.0607
228,-0.0591,0.00284,-1.01236,-0.06864,0.02574,0.07278
229,-0.02213,0.02842,-0.9843,-0.01384,0.01405,0.07118
230,-0.01111,0.04715,-0.98768,-0.00411,0.02055,0.01631
231,-0.00234,0.05565,-0.99894,0.00509,0.01539,-0.02079
232,-0.02228,0.03473,-1.00978,0.03457,0.02313,-0.06052
233,-0.03192,0.05219,-1.01048,0.04625,-0.00437,-0.08749
234,-0.02391,0.02283,-0.9989,0.02528,-0.0026,-0.10853
235,-0.02458,-0.00657,-0.99934,0.0057,0.0043,-0.10376
236,-0.0318,-0.03743,-0.99913,-0.0044,0.00615,-0.04064
237,-0.05222,-0.06368,-1.01243,-0.04935,-0.00867,0.07206
238,-0.04067,-0.01907,-1.00668,-0.04413,0.00177,0.07991
239,-0.02244,-0.00296,-0.98783,-0.03064,0.01682,0.09638
240,-0.01565,0.01832,-0.9986,-0.01402,0.00863,0.05163
241,-0.0179,0.03311,-1.00278,-0.0077,0.02003,0.03031
242,-0.0133,0.04175,-0.99653,-0.00533,0.02576,0.02006
243,-0.01292,0.03553,-1.00262,-0.00255,0.02053,0.01499
244,-0.01728,0.02662,-1.01156,0.01274,0.00843,-0.02743
245,-0.02845,0.03733,-1.00883,0.01725,0.00238,-0.07104
246,-0.02854,0.02323,-1.00109,0.01808,-0.00829,-0.09941
247,-0.02289,0.01616,-0.99982,0.00727,-0.00814,-0.11117
248,-0.03396,0.00075,-0.99593,-0.01251,0.0152,-0.074
249,-0.0343,-0.00563,-1.00018,-0.015,0.01807,-0.04095
250,-0.0404,-0.02117,-1.01368,-0.0054,0.00174,0.01182
251,-0.04765,-0.03552,-1.01233,-0.0282,-0.0017,0.05543
252,-0.03368,-0.0015,-1.00293,-0.03084,-0.00596,0.05436
253,-0.02628,0.00823,-0.99533,-0.02009,0.00109,0.05957
254,-0.02562,0.02051,-0.99886,-0.02306,0.0016,0.04166
255,-0.02144,0.03178,-1.0022,-0.01627,0.00901,0.00995
256,-0.02107,0.03281,-1.00072,-0.01537,0.01277,-0.0074
257,-0.02349,0.00612,-1.002,-0.00867,0.01384,0.00966
258,-0.01864,0.00189,-1.00244,-0.01111,0.01342,0.01217
259,-0.01205,0.0202,-0.99944,-0.00121,0.01458,0.00422
260,-0.0127,0.01631,-1.00398,-0.00694,0.01667,0.0023
261,-0.01634,0.00211,-1.00543,-0.00683,0.01092,0.01366
262,-0.01324,0.01396,-1.00107,-0.00716,0.01284,0.0053
263,-0.01058,0.02,-1.00163,-0.0068,0.01144,0.00526
264,-0.01277,0.00557,-1.003,-0.00719,0.01394,0.009
265,-0.01315,0.00886,-1.0028,-0.0073,0.01368,0.00296
266,-0.01439,0.01987,-1.002,-0.00286,0.01487,-0.00851
267,-0.02122,0.01626,-1.00597,0.00043,0.00854,-0.01929
268,-0.03187,0.02573,-1.00136,-0.00012,0.00696,-0.04514
269,-0.03581,0.04391,-0.99294,-0.01463,0.01143,-0.08044
270,-0.03126,0.03963,-1.00637,-0.00619,0.01078,-0.14059
271,-0.02635,0.01618,-1.00486,-0.0049,0.01054,-0.12532
272,-0.02438,-0.01539,-1.0056,-0.00145,0.00974,-0.08142
273,-0.02287,-0.03354,-1.00518,-0.00234,0.00767,-0.03231
274,-0.02123,-0.03664,-1.00473,-0.00832,0.00853,0.00224
275,-0.02227,-0.01156,-1.00436,-0.00623,0.0079,0.0132
276,-0.02251,0.02999,-1.00165,-0.0054,0.00869,-0.00043
277,-0.02544,0.0193,-1.00259,-0.00723,0.00761,1e-05
278,-0.02849,-0.0018,-1.00191,-0.00599,0.00452,0.01053
279,-0.04261,0.02271,-1.00794,-0.03405,-0.02727,-0.01005
280,-0.10398,0.07487,-0.98941,-0.04284,0.01326,-0.02128
281,-0.11115,0.1083,-1.00627,-0.04771,0.01446,0.02417
282,-0.08367,0.22767,-1.0097,-0.01195,-0.00997,-0.03326
283,-0.05211,0.27153,-1.0183,0.00329,-0.05362,-0.00993
284,-0.04706,0.2608,-1.0467,0.03374,-0.05423,0.07407
285,-0.05202,0.19779,-0.88405,-0.0574,0.10389,0.22169
286,0.00111,0.35417,-0.98327,-0.11094,0.05476,0.00293
287,0.02548,0.28614,-1.12553,0.1453,-0.02442,0.00072
288,0.07184,0.1864,-0.85908,-0.01486,0.22878,-0.05199
289,0.05325,0.19179,-0.988,-0.04567,0.02207,-0.09847
290,-0.03897,-0.04487,-1.14032,-0.07309,-0.13855,0.12791
291,0.01588,-0.0491,-0.92934,-0.1222,0.16241,0.02486
292,0.09834,0.03778,-0.95955,0.05667,0.06586,-0.17099
293,0.02077,-0.14389,-1.04342,0.14468,-0.05435,0.01433
294,-0.0135,-0.19715,-1.0553,-0.09523,-0.05516,0.12898
295,0.02341,-0.04007,-0.95837,-0.12176,0.10942,-0.0845
296,0.01551,0.00487,-0.98957,0.12947,-0.01242,-0.03553
297,-0.0537,-0.04459,-1.01662,0.10181,-0.04579,0.12452
298,-0.02667,0.11594,-1.0052,-0.12708,0.05509,0.03202
299,-0.01918,0.18602,-1.0342,-0.17731,0.04245,-0.02109
300,-0.04291,0.13563,-0.9589,0.07254,-0.03051,-0.01787
301,-0.03513,0.10431,-0.98035,0.06429,0.00802,0.04643
302,-0.00558,0.1682,-1.00431,-0.14572,0.03897,-0.0889
303,-0.04219,0.0324,-1.06543,0.13703,-0.03424,0.03237
304,0.00187,-0.02655,-0.89892,-0.00204,0.1148,0.03106
305,0.0557,0.04552,-1.0192,0.02117,0.08696,-0.10105
306,0.01903,-0.11449,-0.92316,-0.05962,0.06282,0.07541
307,0.01903,-0.11449,-0.92316,-0.05962,0.06282,0.07541
308,0.05913,0.01251,-0.96087,-0.03081,0.00931,-0.04907
309,0.01321,-0.02458,-1.08224,-0.00247,-0.05259,-0.04694
310,-0.046,-0.07723,-1.00313,0.03584,-0.00974,0.13539
311,-0.02014,0.0691,-0.93518,-0.16148,0.10643,-0.00351
312,0.00469,0.18101,-1.01842,0.04439,0.0399,-0.11039
