,times(seconds),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.0,-0.01447,0.01511,-1.00127,-0.00725,0.01041,0.00791
1,0.019424809566691348,-0.01447,0.01511,-1.00127,-0.00725,0.01041,0.00791
2,0.038849619133382696,-0.01497,0.01508,-1.00279,-0.00594,0.00611,0.00623
3,0.058274428700074044,-0.01563,0.01385,-1.00246,-0.00706,0.00591,0.00654
4,0.07769923826676539,-0.01552,0.01455,-1.00362,-0.00435,0.0081,0.00567
5,0.09712404783345674,-0.01356,0.01764,-1.00327,-0.00685,0.00417,-0.00187
6,0.11654885740014809,-0.0156,0.00868,-1.0016,-0.00417,0.00941,0.02224
7,0.13597366696683943,-0.01604,0.01976,-1.00314,-0.00467,0.00482,0.00093
8,0.15539847653353078,-0.01414,0.01632,-1.00145,-0.00468,0.01158,0.00131
9,0.17482328610022213,-0.01573,0.01259,-1.00338,-0.00573,0.0063,0.0144
10,0.19424809566691348,-0.01547,0.0159,-1.00226,-0.00429,0.00692,0.00591
11,0.21367290523360483,-0.0118,0.01775,-1.00144,-0.00543,0.00644,0.00213
12,0.23309771480029617,-0.01389,0.01186,-1.0018,-0.00696,0.00661,0.00737
13,0.2525225243669875,-0.01448,0.01576,-1.00308,-0.00444,0.00547,0.00917
14,0.27194733393367887,-0.01136,0.01533,-1.00546,-0.00642,0.00611,0.00302
15,0.2913721435003702,-0.01296,0.01274,-1.00477,-0.00698,0.00843,0.0058
16,0.31079695306706157,-0.01411,0.01595,-1.00291,-0.00273,0.00674,0.01045
17,0.3302217626337529,-0.01355,0.0146,-1.00188,-0.00777,0.00618,0.00548
18,0.34964657220044426,-0.01436,0.0134,-1.00205,-0.00572,0.00679,0.006
19,0.3690713817671356,-0.01568,0.01469,-1.00244,-0.00586,0.00632,0.00833
20,0.38849619133382696,-0.01445,0.01529,-1.00376,-0.00828,0.00755,0.00616
21,0.4079210009005183,-0.01384,0.01332,-1.00238,-0.00493,0.00579,0.00575
22,0.42734581046720965,-0.01386,0.01649,-1.00172,-0.00631,0.00688,0.007
23,0.446770620033901,-0.0142,0.01354,-1.00306,-0.00554,0.00916,0.00679
24,0.46619542960059235,-0.01344,0.01481,-1.00513,-0.00623,0.00772,0.00326
25,0.4856202391672837,-0.0132,0.01605,-1.00259,-0.00734,0.00631,0.00613
26,0.505045048733975,-0.01474,0.01409,-1.00314,-0.00743,0.0075,0.00715
27,0.5244698583006664,-0.01358,0.01495,-1.00437,-0.00652,0.01475,0.00254
28,0.5438946678673577,-0.01637,0.01263,-1.00443,-0.00469,0.00271,0.01006
29,0.5633194774340491,-0.01092,0.01832,-1.00265,-0.00657,0.0091,0.00584
30,0.5827442870007404,-0.01608,0.01203,-1.00394,-0.00543,0.00568,0.00717
31,0.6021690965674318,-0.01387,0.01666,-1.00251,-0.00596,0.00777,0.01059
32,0.6215939061341231,-0.01222,0.01557,-1.00202,-0.00744,0.00767,0.00313
33,0.6410187157008145,-0.01605,0.01213,-1.00248,-0.00809,0.00657,0.01048
34,0.6604435252675058,-0.01397,0.01716,-1.00267,-0.00354,0.00692,0.00373
35,0.6798683348341972,-0.01509,0.01412,-1.00156,-0.00711,0.00837,0.00534
36,0.6992931444008885,-0.01327,0.0175,-1.00277,-0.00547,0.00489,0.00331
37,0.7187179539675799,-0.01327,0.0175,-1.00277,-0.00547,0.00489,0.00331
38,0.7381427635342712,-0.01499,0.01435,-1.00365,-0.0044,0.00555,0.00739
39,0.7575675731009626,-0.01475,0.01638,-1.00295,-0.00669,0.00757,0.00762
40,0.7769923826676539,-0.01393,0.01371,-1.00302,-0.00674,0.00352,0.00612
41,0.7964171922343453,-0.01311,0.01522,-1.00224,-0.00784,0.00841,0.00539
42,0.8158420018010366,-0.01372,0.01512,-1.00312,-0.00707,0.00586,0.00723
43,0.835266811367728,-0.01322,0.01433,-1.00304,-0.00706,0.00844,0.00608
44,0.8546916209344193,-0.0133,0.01613,-1.00407,-0.00734,0.00636,0.00619
45,0.8741164305011107,-0.01524,0.01486,-1.00474,-0.00562,0.00763,0.00668
46,0.893541240067802,-0.01614,0.01423,-1.00296,-0.00676,0.00751,0.00744
