,x,y,z
187,0.9346,-0.01432,0.0
188,0.94296,-0.01448,0.0
189,0.95076,-0.01482,0.0
190,0.95858,-0.01488,0.0
191,0.96609,-0.01513,0.0
192,0.97317,-0.01531,0.0
193,0.98071,-0.01535,0.0
194,0.98847,-0.01557,0.0
195,0.99631,-0.01573,0.0
196,1.00459,-0.01582,0.0
197,1.01319,-0.01605,0.0
198,1.02187,-0.0162,0.0
199,1.03063,-0.01613,0.0
200,1.03939,-0.01633,0.0
201,1.0478,-0.01654,0.0
202,1.05577,-0.0166,0.0
203,1.06339,-0.01681,0.0
204,1.07009,-0.01716,0.0
205,1.07583,-0.01752,0.0
206,1.08104,-0.01766,0.0
207,1.08598,-0.0178,0.0
208,1.09045,-0.01799,0.0
209,1.09932,-0.01837,0.0
210,1.10418,-0.019,0.0
211,1.10952,-0.01924,0.0
212,1.11542,-0.0194,0.0
213,1.12123,-0.01942,0.0
214,1.12674,-0.01967,0.0
215,1.13175,-0.01983,0.0
216,1.13603,-0.02003,0.0
217,1.13944,-0.02011,0.0
218,1.14218,-0.02028,0.0
219,1.14437,-0.02051,0.0
220,1.14619,-0.02084,0.0
221,1.14796,-0.02124,0.0
222,1.15002,-0.02144,0.0
223,1.15272,-0.02162,0.0
224,1.15599,-0.02178,0.0
225,1.15955,-0.02174,0.0
226,1.16316,-0.02163,0.0
227,1.16659,-0.02174,0.0
228,1.16956,-0.022,0.0
229,1.17234,-0.02223,0.0
230,1.17501,-0.02238,0.0
231,1.17768,-0.02256,0.0
232,1.18026,-0.02245,0.0
233,1.18277,-0.02221,0.0
234,1.18525,-0.02187,0.0
235,1.18766,-0.02163,0.0
236,1.18996,-0.02148,0.0
237,1.19222,-0.02148,0.0
238,1.19443,-0.02163,0.0
239,1.19655,-0.02193,0.0
240,1.19853,-0.02233,0.0
241,1.20047,-0.02263,0.0
242,1.20238,-0.02275,0.0
243,1.2043,-0.02271,0.0
244,1.20626,-0.02256,0.0
245,1.21008,-0.02238,0.0
246,1.21183,-0.0222,0.0
247,1.21346,-0.02198,0.0
248,1.21499,-0.02177,0.0
249,1.21645,-0.02159,0.0
250,1.21786,-0.02151,0.0
251,1.21918,-0.02159,0.0
252,1.22039,-0.02184,0.0
253,1.22151,-0.02213,0.0
254,1.22258,-0.02227,0.0
255,1.22357,-0.02224,0.0
256,1.22451,-0.02211,0.0
257,1.22539,-0.02197,0.0
258,1.22625,-0.0219,0.0
259,1.22716,-0.0219,0.0
260,1.22805,-0.02191,0.0
261,1.22901,-0.02189,0.0
262,1.22993,-0.02194,0.0
263,1.23076,-0.02199,0.0
264,1.23159,-0.02207,0.0
265,1.23234,-0.02217,0.0
266,1.23311,-0.02228,0.0
267,1.23389,-0.02235,0.0
268,1.23468,-0.02227,0.0
269,1.23531,-0.02222,0.0
270,1.23586,-0.02206,0.0
271,1.2363,-0.02175,0.0
272,1.23655,-0.0214,0.0
273,1.23673,-0.02106,0.0
274,1.23689,-0.02089,0.0
275,1.23701,-0.02092,0.0
276,1.23709,-0.02113,0.0
277,1.23699,-0.02135,0.0
278,1.23686,-0.02141,0.0
279,1.23649,-0.02143,0.0
280,1.23589,-0.02104,0.0
281,1.23494,-0.02011,0.0
282,1.23358,-0.01848,0.0
283,1.23202,-0.01556,0.0
284,1.23019,-0.01055,0.0
285,1.22846,-0.00385,0.0
