,times(seconds),tof1,tof2,tof3,tof4
0,0.0,2760,0,0,0
1,0.020060602193741495,2760,0,0,0
2,0.04012120438748299,2758,0,0,0
3,0.06018180658122449,2758,0,0,0
4,0.08024240877496598,2767,0,0,0
5,0.10030301096870747,2767,0,0,0
6,0.12036361316244898,2767,0,0,0
7,0.14042421535619046,2761,0,0,0
8,0.16048481754993196,2761,0,0,0
9,0.18054541974367347,2752,0,0,0
10,0.20060602193741495,2752,0,0,0
11,0.22066662413115645,2747,0,0,0
12,0.24072722632489796,2747,0,0,0
13,0.26078782851863946,2747,0,0,0
14,0.2808484307123809,2754,0,0,0
15,0.3009090329061224,2754,0,0,0
16,0.3209696350998639,2736,0,0,0
17,0.34103023729360543,2736,0,0,0
18,0.36109083948734694,2741,0,0,0
19,0.3811514416810884,2741,0,0,0
20,0.4012120438748299,2741,0,0,0
21,0.4212726460685714,2741,0,0,0
22,0.4413332482623129,2741,0,0,0
23,0.4613938504560544,2746,0,0,0
24,0.4814544526497959,2746,0,0,0
25,0.5015150548435374,2733,0,0,0
26,0.5215756570372789,2733,0,0,0
27,0.5416362592310203,2735,0,0,0
28,0.5616968614247618,2735,0,0,0
29,0.5817574636185033,2741,0,0,0
30,0.6018180658122448,2741,0,0,0
31,0.6218786680059863,2741,0,0,0
32,0.6419392701997279,2735,0,0,0
33,0.6619998723934694,2735,0,0,0
34,0.6820604745872109,2732,0,0,0
35,0.7021210767809524,2732,0,0,0
36,0.7221816789746939,2731,0,0,0
37,0.7422422811684354,2731,0,0,0
38,0.7623028833621768,2731,0,0,0
39,0.7823634855559183,2733,0,0,0
40,0.8024240877496598,2733,0,0,0
41,0.8224846899434013,2731,0,0,0
42,0.8425452921371428,2731,0,0,0
43,0.8626058943308843,2731,0,0,0
44,0.8826664965246258,2731,0,0,0
45,0.9027270987183673,2731,0,0,0
46,0.9227877009121088,2707,0,0,0
47,0.9428483031058503,2707,0,0,0
48,0.9629089052995918,2707,0,0,0
49,0.9829695074933332,2733,0,0,0
50,1.0030301096870748,2733,0,0,0
51,1.0230907118808164,2723,0,0,0
52,1.0431513140745579,2723,0,0,0
53,1.0632119162682994,2723,0,0,0
54,1.0832725184620406,2709,0,0,0
55,1.1033331206557822,2709,0,0,0
56,1.1233937228495237,2727,0,0,0
57,1.1434543250432652,2727,0,0,0
58,1.1635149272370067,2727,0,0,0
59,1.1835755294307482,2715,0,0,0
60,1.2036361316244897,2715,0,0,0
61,1.2236967338182312,2716,0,0,0
62,1.2437573360119727,2716,0,0,0
63,1.2638179382057142,2709,0,0,0
64,1.2838785403994557,2709,0,0,0
65,1.3039391425931972,2709,0,0,0
66,1.3239997447869387,2711,0,0,0
67,1.3440603469806802,2711,0,0,0
68,1.3641209491744217,2718,0,0,0
69,1.3841815513681632,2718,0,0,0
70,1.4042421535619047,2718,0,0,0
71,1.4243027557556462,2718,0,0,0
72,1.4443633579493877,2718,0,0,0
73,1.4644239601431293,2731,0,0,0
74,1.4844845623368708,2731,0,0,0
75,1.504545164530612,2731,0,0,0
76,1.5246057667243536,2688,0,0,0
77,1.544666368918095,2688,0,0,0
78,1.5647269711118366,2639,0,0,0
79,1.584787573305578,2639,0,0,0
80,1.6048481754993196,2639,0,0,0
81,1.624908777693061,2604,0,0,0
82,1.6449693798868026,2604,0,0,0
83,1.665029982080544,2550,0,0,0
84,1.6850905842742856,2550,0,0,0
85,1.705151186468027,2550,0,0,0
86,1.7252117886617686,2528,0,0,0
87,1.7452723908555101,2528,0,0,0
88,1.7653329930492516,2504,0,0,0
89,1.7853935952429931,2504,0,0,0
90,1.8054541974367346,2472,0,0,0
91,1.8255147996304761,2472,0,0,0
92,1.8455754018242176,2472,0,0,0
93,1.8656360040179591,2389,0,0,0
94,1.8856966062117007,2389,0,0,0
95,1.9057572084054422,2332,0,0,0
96,1.9258178105991837,2332,0,0,0
97,1.945878412792925,2332,0,0,0
98,1.9659390149866665,2308,0,0,0
99,1.985999617180408,2308,0,0,0
100,2.0060602193741497,2285,0,0,0
101,2.026120821567891,2285,0,0,0
102,2.0461814237616327,2285,0,0,0
103,2.066242025955374,2217,0,0,0
104,2.0863026281491157,2217,0,0,0
105,2.106363230342857,2178,0,0,0
106,2.1264238325365987,2178,0,0,0
107,2.14648443473034,2178,0,0,0
108,2.1665450369240813,2116,0,0,0
109,2.186605639117823,2116,0,0,0
110,2.2066662413115643,2070,0,0,0
111,2.226726843505306,2070,0,0,0
112,2.2467874456990473,2031,0,0,0
113,2.266848047892789,2031,0,0,0
114,2.2869086500865303,2031,0,0,0
115,2.306969252280272,1984,0,0,0
116,2.3270298544740133,1984,0,0,0
117,2.347090456667755,1941,0,0,0
118,2.3671510588614963,1941,0,0,0
119,2.387211661055238,1941,0,0,0
120,2.4072722632489794,1881,0,0,0
121,2.427332865442721,1881,0,0,0
122,2.4473934676364624,1815,0,0,0
123,2.467454069830204,1815,0,0,0
124,2.4875146720239454,1815,0,0,0
125,2.507575274217687,1763,0,0,0
126,2.5276358764114284,1763,0,0,0
127,2.54769647860517,1721,0,0,0
128,2.5677570807989114,1721,0,0,0
