,tof1,tof2,tof3,tof4,speed,angle,timestamp,state,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y,z,yaw,pitch,roll
21,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.0161,0.01413,-1.00305,-0.00527,0.00799,0.00402,-8e-05,3e-05,0.0,-1.26,-4.73,-1.55
22,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01512,0.01256,-1.00411,-0.00553,0.00829,0.00568,-6e-05,9e-05,0.0,-1.26,-4.73,-1.55
23,2746.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01503,0.01183,-1.00321,-0.00433,0.00796,0.00807,-7e-05,9e-05,0.0,-1.26,-4.73,-1.55
24,2746.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01357,0.01406,-1.00038,-0.00764,0.00993,0.00334,-7e-05,9e-05,0.0,-1.27,-4.73,-1.56
25,2733.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01347,0.0125,-1.0004,-0.00694,0.00738,0.00887,-7e-05,9e-05,0.0,-1.26,-4.73,-1.56
26,2733.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01422,0.01303,-1.00384,-0.00676,0.00806,0.00741,-7e-05,9e-05,0.0,-1.26,-4.73,-1.56
27,2735.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01485,0.01384,-1.00427,-0.00639,0.0077,0.0064,-6e-05,0.0001,0.0,-1.26,-4.73,-1.56
28,2735.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01453,0.01212,-1.00044,-0.00773,0.00701,0.00655,-5e-05,8e-05,0.0,-1.26,-4.73,-1.56
29,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01562,0.01414,-1.00126,-0.00473,0.00689,0.00619,-4e-05,6e-05,0.0,-1.26,-4.73,-1.56
30,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01538,0.01268,-1.00261,-0.00505,0.00741,0.00701,-4e-05,6e-05,0.0,-1.26,-4.73,-1.56
31,2741.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01543,0.01256,-0.99987,-0.00703,0.00909,0.00866,-5e-05,7e-05,0.0,-1.26,-4.74,-1.56
32,2735.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01678,0.01328,-1.00167,-0.00566,0.00606,0.00638,-6e-05,9e-05,0.0,-1.26,-4.74,-1.56
33,2735.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01597,0.01437,-1.00358,-0.00466,0.00884,0.00613,-6e-05,9e-05,0.0,-1.26,-4.74,-1.56
34,2732.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01578,0.01433,-1.00298,-0.00488,0.00968,0.00838,-7e-05,9e-05,0.0,-1.26,-4.74,-1.56
35,2732.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01544,0.0142,-1.00399,-0.00521,0.00867,0.00577,-8e-05,9e-05,0.0,-1.26,-4.73,-1.55
36,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01491,0.01376,-1.00397,-0.00617,0.0065,0.00423,-8e-05,9e-05,0.0,-1.27,-4.73,-1.56
37,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01506,0.01277,-1.00309,-0.00681,0.00439,0.00833,-8e-05,9e-05,0.0,-1.26,-4.73,-1.56
38,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01411,0.01295,-1.00178,-0.00442,0.00722,0.00806,-8e-05,8e-05,0.0,-1.26,-4.73,-1.56
39,2733.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01386,0.01297,-1.00277,-0.00614,0.0063,0.00846,-8e-05,7e-05,0.0,-1.26,-4.74,-1.56
40,2733.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01592,0.01324,-1.00154,-0.00701,0.0073,0.00434,-7e-05,6e-05,0.0,-1.26,-4.74,-1.56
41,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01509,0.01296,-1.00312,-0.00653,0.00483,0.00595,-6e-05,4e-05,0.0,-1.26,-4.74,-1.56
42,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01522,0.01471,-1.00346,-0.0068,0.00956,0.00531,-5e-05,1e-05,0.0,-1.26,-4.74,-1.56
43,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01436,0.01328,-1.00254,-0.00635,0.00677,0.00629,-5e-05,-1e-05,0.0,-1.27,-4.74,-1.56
44,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01464,0.0129,-1.00161,-0.00552,0.0083,0.00657,-4e-05,1e-05,0.0,-1.26,-4.74,-1.56
45,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01527,0.0139,-1.00361,-0.00393,0.00605,0.00518,-5e-05,-1e-05,0.0,-1.26,-4.74,-1.56
46,2707.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01397,0.01317,-1.00443,-0.00557,0.00708,0.00592,-6e-05,-2e-05,0.0,-1.26,-4.74,-1.56
47,2707.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.0146,0.01374,-1.00273,-0.00665,0.00843,0.00829,-6e-05,0.0,0.0,-1.26,-4.74,-1.55
48,2707.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01566,0.01437,-1.00045,-0.00415,0.00803,0.00591,-5e-05,2e-05,0.0,-1.26,-4.74,-1.55
49,2733.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01491,0.01319,-1.00259,-0.00808,0.00697,0.00782,-5e-05,3e-05,0.0,-1.26,-4.73,-1.55
50,2733.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01508,0.01247,-1.00496,-0.00653,0.00602,0.00624,-6e-05,3e-05,0.0,-1.26,-4.74,-1.56
51,2723.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.0145,0.01316,-1.003,-0.00498,0.00816,0.00739,-6e-05,4e-05,0.0,-1.26,-4.74,-1.56
52,2723.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.0148,0.01233,-1.00127,-0.00783,0.00507,0.00967,-7e-05,1e-05,0.0,-1.26,-4.74,-1.56
53,2723.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01467,0.01404,-1.00204,-0.00604,0.00718,0.00511,-7e-05,1e-05,0.0,-1.26,-4.74,-1.56
54,2709.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01521,0.01419,-1.00302,-0.00642,0.00725,0.00381,-7e-05,-0.0,0.0,-1.26,-4.74,-1.56
55,2709.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01456,0.01361,-1.0029,-0.00466,0.00478,0.00437,-7e-05,0.0,0.0,-1.26,-4.74,-1.56
56,2727.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01467,0.0139,-1.00108,-0.00752,0.00794,0.0099,-7e-05,2e-05,0.0,-1.27,-4.74,-1.56
57,2727.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01614,0.01312,-1.00075,-0.00354,0.00508,0.00696,-6e-05,1e-05,0.0,-1.26,-4.74,-1.56
58,2727.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01662,0.01356,-1.00311,-0.00403,0.00637,0.00707,-5e-05,2e-05,0.0,-1.26,-4.74,-1.56
59,2715.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01511,0.01369,-1.00189,-0.00649,0.00746,0.00636,-6e-05,1e-05,0.0,-1.26,-4.74,-1.55
60,2715.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01384,0.01275,-1.00172,-0.00682,0.00376,0.00549,-6e-05,1e-05,0.0,-1.26,-4.74,-1.55
61,2716.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01351,0.01362,-1.00091,-0.0062,0.00658,0.00644,-6e-05,-1e-05,0.0,-1.26,-4.74,-1.56
62,2716.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01459,0.0145,-1.00063,-0.0039,0.00683,0.00823,-5e-05,-2e-05,0.0,-1.27,-4.74,-1.56
63,2709.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01489,0.01421,-1.00044,-0.00686,0.005,0.00567,-5e-05,-2e-05,0.0,-1.26,-4.74,-1.56
64,2709.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01494,0.01368,-1.00198,-0.00644,0.00508,0.00564,-4e-05,-2e-05,0.0,-1.26,-4.74,-1.56
65,2709.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01655,0.01244,-1.002,-0.00584,0.00443,0.00486,-4e-05,-2e-05,0.0,-1.27,-4.74,-1.56
66,2711.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01581,0.01378,-1.00175,-0.00655,0.00628,0.00604,-3e-05,-3e-05,0.0,-1.26,-4.74,-1.56
67,2711.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01472,0.01228,-1.00332,-0.00835,0.01145,0.01365,-4e-05,-3e-05,0.0,-1.26,-4.74,-1.56
68,2718.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01794,0.01296,-1.00211,-0.00393,0.00624,-0.00229,-1e-05,-3e-05,0.0,-1.27,-4.74,-1.56
69,2718.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01318,0.01763,-1.00264,-0.00445,0.0067,0.00679,-0.0001,-3e-05,0.0,-1.26,-4.73,-1.56
70,2718.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01461,0.01003,-1.00235,-0.00624,0.00563,0.00509,-0.00018,6e-05,0.0,-1.27,-4.74,-1.56
71,2718.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.01414,0.01469,-1.00295,-0.00476,0.00484,0.00898,-0.00023,0.00017,0.0,-1.26,-4.73,-1.56
72,2718.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.0079,0.01435,-1.00054,-0.00442,0.01367,-0.00128,-0.00024,0.00018,0.0,-1.26,-4.74,-1.55
73,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.04774,0.01303,-0.98878,0.00465,0.04376,0.00864,-0.00013,0.00018,0.0,-1.27,-4.73,-1.55
74,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.11676,0.01557,-1.01213,-0.01286,0.04555,0.01237,0.00053,0.00014,0.0,-1.27,-4.7,-1.54
75,2731.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.18164,0.00645,-0.98794,-0.10412,0.14368,0.04758,0.0021,0.0,0.0,-1.24,-4.54,-1.62
76,2688.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.23491,-0.02553,-1.05233,-0.02502,-0.00536,0.04938,0.00489,-0.00022,0.0,-1.17,-4.46,-1.68
