,not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\position_(speed 1.5),not_importance\position_(speed 1.5),not_importance\position_(speed 1.5),not_importance\Attitude_(speed 1.5),not_importance\Attitude_(speed 1.5),not_importance\Attitude_(speed 1.5)
,tof1,tof2,tof3,tof4,speed,angle,timestamp,state,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y,z,yaw,pitch,roll
18,3298.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01436,0.0134,-1.00205,-0.00572,0.00679,0.006,-0.00021,0.00015,0.0,-2.24,-5.88,-0.52
19,3298.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01568,0.01469,-1.00244,-0.00586,0.00632,0.00833,-0.00021,0.00015,0.0,-2.24,-5.88,-0.52
20,3298.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01445,0.01529,-1.00376,-0.00828,0.00755,0.00616,-0.00017,0.00027,0.0,-2.24,-5.88,-0.52
21,3275.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01384,0.01332,-1.00238,-0.00493,0.00579,0.00575,-0.00014,0.00026,0.0,-2.25,-5.89,-0.52
22,3275.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01386,0.01649,-1.00172,-0.00631,0.00688,0.007,-0.00017,0.00027,0.0,-2.25,-5.88,-0.52
23,3280.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0142,0.01354,-1.00306,-0.00554,0.00916,0.00679,-0.00023,0.00021,0.0,-2.25,-5.88,-0.52
24,3280.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01344,0.01481,-1.00513,-0.00623,0.00772,0.00326,-0.00033,0.00023,0.0,-2.25,-5.88,-0.52
25,3250.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0132,0.01605,-1.00259,-0.00734,0.00631,0.00613,-0.00046,0.0003,0.0,-2.25,-5.88,-0.52
26,3250.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01474,0.01409,-1.00314,-0.00743,0.0075,0.00715,-0.00058,0.00031,0.0,-2.25,-5.88,-0.52
27,3250.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01358,0.01495,-1.00437,-0.00652,0.01475,0.00254,-0.00064,0.00041,0.0,-2.25,-5.88,-0.52
28,3248.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01637,0.01263,-1.00443,-0.00469,0.00271,0.01006,-0.00067,0.00046,0.0,-2.25,-5.88,-0.52
29,3248.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01092,0.01832,-1.00265,-0.00657,0.0091,0.00584,-0.00064,0.00053,0.0,-2.26,-5.88,-0.51
30,3230.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01608,0.01203,-1.00394,-0.00543,0.00568,0.00717,-0.00061,0.00058,0.0,-2.25,-5.88,-0.51
31,3230.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01387,0.01666,-1.00251,-0.00596,0.00777,0.01059,-0.00057,0.00064,0.0,-2.25,-5.88,-0.52
32,3230.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01222,0.01557,-1.00202,-0.00744,0.00767,0.00313,-0.00056,0.00068,0.0,-2.26,-5.88,-0.52
33,3260.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01605,0.01213,-1.00248,-0.00809,0.00657,0.01048,-0.00055,0.00071,0.0,-2.25,-5.88,-0.52
34,3260.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01397,0.01716,-1.00267,-0.00354,0.00692,0.00373,-0.00053,0.00072,0.0,-2.25,-5.88,-0.52
35,3223.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01509,0.01412,-1.00156,-0.00711,0.00837,0.00534,-0.00051,0.00073,0.0,-2.25,-5.88,-0.52
36,3223.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01327,0.0175,-1.00277,-0.00547,0.00489,0.00331,-0.0005,0.00078,0.0,-2.25,-5.88,-0.52
37,3223.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01327,0.0175,-1.00277,-0.00547,0.00489,0.00331,-0.00049,0.00085,0.0,-2.26,-5.88,-0.51
38,3224.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01499,0.01435,-1.00365,-0.0044,0.00555,0.00739,-0.00049,0.00088,0.0,-2.25,-5.89,-0.51
39,3224.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01475,0.01638,-1.00295,-0.00669,0.00757,0.00762,-0.00041,0.00095,0.0,-2.25,-5.89,-0.51
40,3216.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01393,0.01371,-1.00302,-0.00674,0.00352,0.00612,-0.00035,0.00093,0.0,-2.25,-5.89,-0.51
41,3216.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01311,0.01522,-1.00224,-0.00784,0.00841,0.00539,-0.00027,0.00089,0.0,-2.25,-5.89,-0.51
42,3216.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01372,0.01512,-1.00312,-0.00707,0.00586,0.00723,-0.00017,0.00076,0.0,-2.25,-5.89,-0.51
43,3216.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01322,0.01433,-1.00304,-0.00706,0.00844,0.00608,-0.00024,0.00066,0.0,-2.25,-5.89,-0.51
44,3211.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0133,0.01613,-1.00407,-0.00734,0.00636,0.00619,-0.00033,0.00058,0.0,-2.25,-5.89,-0.52
45,3211.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01524,0.01486,-1.00474,-0.00562,0.00763,0.00668,-0.00035,0.00048,0.0,-2.26,-5.89,-0.52
46,3224.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01614,0.01423,-1.00296,-0.00676,0.00751,0.00744,-0.00033,0.00043,0.0,-2.25,-5.89,-0.52
47,3224.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01605,0.01548,-1.00158,-0.00645,0.00583,0.0056,-0.00031,0.00035,0.0,-2.26,-5.89,-0.51
48,3224.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01435,0.01453,-1.0013,-0.00435,0.00614,0.00669,-0.00032,0.00025,0.0,-2.25,-5.89,-0.51
49,3201.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0145,0.01469,-1.00205,-0.00734,0.00738,0.00592,-0.00033,0.00023,0.0,-2.26,-5.89,-0.51
50,3201.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01324,0.01401,-1.00424,-0.00862,0.0093,0.00739,-0.00033,0.00022,0.0,-2.26,-5.89,-0.51
51,3206.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01248,0.01524,-1.00364,-0.00603,0.00806,0.00613,-0.00034,0.00019,0.0,-2.26,-5.89,-0.51
52,3206.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01163,0.0156,-1.0046,-0.00779,0.00776,0.00431,-0.00033,0.00019,0.0,-2.26,-5.89,-0.51
53,3206.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01302,0.01478,-1.00447,-0.00667,0.00636,0.0056,-0.00031,0.0002,0.0,-2.26,-5.89,-0.51
54,3215.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01341,0.01399,-1.00185,-0.00548,0.0081,0.00634,-0.00029,0.00019,0.0,-2.26,-5.89,-0.52
55,3215.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01408,0.01494,-1.00311,-0.00907,0.00806,0.00624,-0.00027,0.00017,0.0,-2.26,-5.89,-0.52
56,3218.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01489,0.0146,-1.00432,-0.00618,0.01128,0.00813,-0.00026,0.00015,0.0,-2.25,-5.89,-0.52
57,3218.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01568,0.01548,-1.00243,-0.00446,0.00682,0.00554,-0.00027,0.00018,0.0,-2.25,-5.89,-0.51
58,3218.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01523,0.01508,-1.00212,-0.00592,0.00817,0.00488,-0.00027,0.00017,0.0,-2.25,-5.89,-0.51
59,3210.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0155,0.01399,-1.00221,-0.00618,0.00716,0.00817,-0.00027,0.00017,0.0,-2.26,-5.89,-0.51
60,3210.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01632,0.01491,-1.00266,-0.00537,0.00753,0.00494,-0.00028,0.00015,0.0,-2.26,-5.89,-0.51
61,3211.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01518,0.0158,-1.00298,-0.00484,0.00781,0.00424,-0.0003,0.00016,0.0,-2.26,-5.89,-0.51
62,3211.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0142,0.01432,-1.00333,-0.00375,0.01043,0.00623,-0.00031,0.00016,0.0,-2.26,-5.89,-0.51
63,3198.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01449,0.0148,-1.00224,-0.00585,0.00673,0.00321,-0.00031,0.00016,0.0,-2.26,-5.89,-0.51
